id,count
0,86.86764
1,263.95782
2,61.787384
4,19.536777
5,46.162033
10,169.8007
11,190.25403
12,324.47653
15,42.849888
17,107.02008
18,300.0727
23,243.64262
25,128.46341
26,27.76162
31,160.04391
39,107.53506
40,28.969984
41,145.76839
42,374.31003
43,194.17754
51,197.54068
52,72.03095
54,19.941025
60,116.874725
61,123.07382
62,86.04665
63,27.502121
65,107.22708
66,118.931984
68,88.00999
71,72.11996
80,9.923437
82,63.12727
94,137.6937
98,275.70966
101,16.23466
102,112.13464
107,114.70451
112,203.22699
113,51.33938
115,33.546707
116,152.84798
120,149.66899
121,60.380142
122,282.80002
132,188.33493
143,74.780754
147,63.459167
150,26.421059
151,63.168518
152,204.78635
153,88.43119
155,129.65184
156,43.393063
159,118.148056
161,137.5915
163,55.17169
177,157.43605
186,15.357264
188,20.91242
190,88.87668
191,83.10713
192,242.05249
195,293.881
200,139.2723
209,287.08685
210,18.382408
211,208.19937
214,174.28906
215,23.806421
218,112.34954
219,39.01256
222,161.75848
225,21.36801
228,288.1377
236,227.12622
241,36.167454
242,187.6614
243,178.78694
245,24.211529
247,238.87941
251,92.33549
252,85.028244
253,70.96594
254,105.91858
258,281.6039
260,62.971455
261,123.08089
265,89.305664
266,236.21468
267,326.95905
269,171.28113
270,70.42802
275,94.04099
278,34.972794
279,81.132324
286,86.87426
287,25.0476
288,252.15102
289,151.47536
293,22.81796
294,120.97328
297,38.86347
302,95.24501
303,84.61538
304,26.824184
307,98.46694
309,33.658394
311,181.57936
312,114.60717
314,200.61006
315,170.8367
319,153.41338
322,145.23668
323,59.489494
325,156.68503
327,178.00049
330,44.515797
332,148.41603
333,23.457548
338,108.75769
341,108.68641
345,150.64484
348,81.56723
349,48.95124
350,109.131874
352,63.85446
355,17.555712
356,184.47139
358,56.345116
363,69.32363
369,100.31924
371,25.209036
372,154.66916
375,294.44482
380,127.75187
388,51.374382
391,98.87414
392,215.93886
393,337.37662
394,189.3627
396,36.556534
401,26.92002
407,73.858215
409,85.88316
410,107.03667
416,92.51352
418,115.62773
420,196.5357
421,170.2458
422,144.82645
424,285.61954
428,281.89532
429,219.61044
431,172.4867
435,17.08761
439,113.478645
441,-10.705483
447,73.55443
449,135.8754
451,159.13098
452,15.757581
454,164.39029
458,227.14113
463,96.254005
467,13.564801
470,125.00434
471,141.22304
474,264.7295
478,22.00244
483,93.689514
484,149.06908
485,94.71477
486,150.70811
491,91.962166
494,95.302025
495,192.67265
497,206.43314
499,153.18788
515,90.08476
518,216.29768
521,174.24428
525,133.02467
529,267.74298
532,96.90341
534,66.59433
540,89.684006
544,300.35788
547,191.902
549,53.155968
563,42.63839
564,170.77942
567,108.990265
572,112.852135
577,105.50864
578,237.42259
585,323.2577
588,166.0156
589,85.15459
590,90.4012
592,11.232094
594,176.10371
596,26.884218
598,348.6516
599,105.033554
605,24.762594
606,124.11927
607,239.69876
608,207.06287
609,58.121597
610,277.18527
611,125.87789
614,154.833
615,159.25153
616,222.76988
617,115.84529
618,244.87491
624,88.56053
629,155.6173
631,97.60046
633,74.76065
637,7.9936094
638,90.13621
643,61.288853
644,151.78915
645,33.382812
646,203.68704
648,144.62218
650,31.774563
651,157.93344
652,225.95273
656,120.15351
657,12.166075
659,90.67176
660,148.94464
662,98.229515
665,334.5308
675,300.07538
681,125.722115
682,206.59401
685,17.183853
686,153.60994
689,18.683075
696,155.22156
703,149.59381
704,81.973854
705,167.96513
714,220.22879
717,91.8429
718,16.766338
720,78.3848
721,256.6761
723,215.19989
726,135.69319
728,106.99985
730,158.37233
731,22.071112
734,417.5523
737,61.161694
738,27.077353
745,164.48389
746,33.008396
749,225.09064
752,22.11631
753,111.02843
758,220.26799
765,12.59752
766,220.74733
768,65.97583
769,201.38718
774,175.45442
775,104.77501
781,52.862694
784,368.31155
794,27.881266
795,257.39703
796,88.74262
802,134.56462
803,179.79605
805,22.153265
806,267.85773
807,88.14571
809,11.674565
810,163.41722
812,159.4578
814,96.85323
818,269.07343
819,167.93175
825,52.66405
836,93.86769
839,155.81644
847,282.5872
848,136.32817
851,88.377106
852,137.71352
853,16.817816
857,165.84683
858,48.00261
859,234.79427
861,25.853512
867,103.604195
870,187.40796
871,180.77464
872,169.56357
874,381.48718
881,170.95284
886,122.80253
890,60.80376
895,159.71648
899,91.123344
900,258.19928
901,247.99118
902,200.7975
903,45.02091
913,267.2781
918,165.27242
923,162.24655
924,22.459408
926,30.468445
927,27.482447
930,196.38606
934,29.316664
937,118.84968
939,166.2254
941,102.74742
942,387.68253
946,258.96063
950,81.10029
953,95.887
959,65.25131
961,23.95741
962,83.41413
964,59.336884
969,169.61871
971,116.94424
976,36.622963
978,240.75903
980,170.73021
981,169.85506
990,345.3694
993,24.742239
996,33.308826
998,335.60974
999,179.59898
1006,108.08923
1008,8.787185
1013,40.938496
1015,97.908165
1016,76.56136
1022,311.6525
1026,184.09567
1028,250.43338
1031,54.940582
1034,48.30552
1037,142.48953
1040,61.641457
1042,21.262842
1046,29.994083
1048,83.009476
1049,101.44538
1050,71.955864
1051,203.17712
1052,220.02853
1055,168.3437
1060,151.17085
1064,31.032394
1066,58.35626
1071,63.29319
1073,12.500469
1089,170.95387
1091,76.56111
1092,73.90431
1093,251.20668
1096,313.6126
1097,209.22205
1098,14.621584
1099,43.57872
1102,187.68674
1107,82.05446
1109,25.214176
1111,99.90732
1112,114.578545
1114,311.19073
1116,263.70645
1117,70.13986
1118,89.05173
1122,143.63988
1124,149.63739
1127,105.1246
1133,208.85388
1134,27.955753
1135,173.09465
1139,313.7897
1143,30.845127
1150,109.15139
1151,107.28069
1153,303.72815
1155,24.380926
1162,24.614477
